   0.500000E-02   0.213643E+03   0.591917E+02  -0.229847E+02   0.866703E+02  -0.155901E+02   0.537824E+02   0.000000E+00   0.874059E+02   0.349789E+02  -0.724371E+02   0.436048E+02   0.173223E+02   0.259556E+02   0.000000E+00   0.728367E+02   0.612408E+02   0.225992E+01   0.108260E+03  -0.191507E+02   0.817482E+02
   0.150000E-01   0.777484E+03   0.912451E+02   0.173142E+03   0.180401E+03  -0.350176E+02   0.189975E+03   0.000000E+00   0.234691E+03   0.416246E+02  -0.445163E+02   0.829789E+02   0.274504E+02   0.856068E+02   0.000000E+00   0.407527E+03   0.871605E+02   0.125145E+03   0.183068E+03  -0.116669E+03   0.207970E+03
   0.250000E-01   0.115752E+04   0.827024E+02   0.358170E+03   0.184724E+03  -0.839332E+01   0.221934E+03   0.000000E+00   0.350024E+03   0.401522E+02   0.560028E+02   0.868807E+02   0.216935E+01   0.100819E+03   0.000000E+00   0.657764E+03   0.877828E+02   0.247431E+03   0.194746E+03  -0.118904E+03   0.232197E+03
   0.350000E-01   0.131141E+04   0.702441E+02   0.447963E+03   0.162815E+03   0.102319E+01   0.208256E+03   0.000000E+00   0.404788E+03   0.358077E+02   0.138876E+03   0.824606E+02  -0.165518E+02   0.987743E+02   0.000000E+00   0.758889E+03   0.760683E+02   0.328627E+03   0.181657E+03  -0.803865E+02   0.223683E+03
   0.450000E-01   0.135596E+04   0.610126E+02   0.494840E+03   0.143856E+03   0.873297E+01   0.177398E+03   0.000000E+00   0.427280E+03   0.287611E+02   0.175680E+03   0.718216E+02  -0.249998E+02   0.896702E+02   0.000000E+00   0.777789E+03   0.604239E+02   0.365049E+03   0.153633E+03  -0.549638E+02   0.194463E+03
   0.550000E-01   0.139539E+04   0.518300E+02   0.494843E+03   0.120220E+03   0.324364E+02   0.163215E+03   0.000000E+00   0.444484E+03   0.267516E+02   0.197085E+03   0.684633E+02  -0.237606E+02   0.813217E+02   0.000000E+00   0.794994E+03   0.549518E+02   0.378071E+03   0.136007E+03  -0.360410E+02   0.179045E+03
   0.650000E-01   0.144401E+04   0.465341E+02   0.512530E+03   0.112883E+03   0.284915E+02   0.143325E+03   0.000000E+00   0.460582E+03   0.248877E+02   0.212503E+03   0.595951E+02  -0.212518E+02   0.738058E+02   0.000000E+00   0.816993E+03   0.504022E+02   0.389030E+03   0.121413E+03  -0.253352E+02   0.153197E+03
   0.750000E-01   0.143490E+04   0.441447E+02   0.502179E+03   0.991228E+02   0.276107E+02   0.127936E+03   0.000000E+00   0.462364E+03   0.221090E+02   0.215153E+03   0.543988E+02  -0.137667E+02   0.688246E+02   0.000000E+00   0.808262E+03   0.442529E+02   0.392835E+03   0.110681E+03  -0.130888E+02   0.133007E+03
   0.850000E-01   0.136191E+04   0.369349E+02   0.470085E+03   0.885274E+02   0.293597E+02   0.114718E+03   0.000000E+00   0.442986E+03   0.206410E+02   0.197968E+03   0.474710E+02  -0.121420E+02   0.621889E+02   0.000000E+00   0.751855E+03   0.397094E+02   0.357475E+03   0.916452E+02  -0.810540E+01   0.119644E+03
   0.950000E-01   0.126832E+04   0.337497E+02   0.443453E+03   0.814009E+02   0.305946E+02   0.996638E+02   0.000000E+00   0.415252E+03   0.185839E+02   0.178194E+03   0.442636E+02  -0.906866E+01   0.556595E+02   0.000000E+00   0.683259E+03   0.359533E+02   0.328083E+03   0.842815E+02  -0.656046E+00   0.109525E+03
