# s  W0^2        W2^2        W4^2        W6^2        W8^2
3.096502284881519795e+00 6.849105918543808569e-01 1.722487250528986075e-02 3.217233909993446467e-02 3.809035046321067319e-03 2.989016419573219466e-02
3.098731223540696522e+00 6.848871211686070604e-01 1.720842563120531313e-02 3.216676523140997446e-02 3.822091133728754749e-03 2.983742786197338820e-02
3.100961766644853679e+00 6.848636565740374715e-01 1.719201536054384277e-02 3.216116498587918981e-02 3.835117791682991165e-03 2.978479674528474244e-02
3.103193915348909648e+00 6.848401980599809757e-01 1.717564166798261210e-02 3.215553839691223659e-02 3.848115044923469934e-03 2.973227074888887614e-02
3.105427670808615481e+00 6.848167456157465693e-01 1.715930452819877314e-02 3.214988549807922674e-02 3.861082918189899602e-03 2.967984977600835253e-02
3.107663034180552231e+00 6.847932992306433597e-01 1.714300391586951258e-02 3.214420632295025837e-02 3.874021436221974403e-03 2.962753372986578690e-02
3.109900006622136281e+00 6.847698588939805653e-01 1.712673980567198245e-02 3.213850090509548507e-02 3.886930623759405484e-03 2.957532251368375290e-02
3.112138589291614466e+00 6.847464245950669604e-01 1.711051217228335211e-02 3.213276927808499800e-02 3.899810505541886213e-03 2.952321603068483805e-02
3.114378783348068502e+00 6.847229963232115413e-01 1.709432099038080480e-02 3.212701147548891606e-02 3.912661106309118196e-03 2.947121418409166457e-02
3.116620589951414999e+00 6.846995740677233044e-01 1.707816623464148212e-02 3.212122753087737204e-02 3.925482450800805642e-03 2.941931687712678878e-02
3.118864010262405007e+00 6.846761578179113572e-01 1.706204787974256037e-02 3.211541747782046402e-02 3.938274563756651026e-03 2.936752401301279472e-02
3.121109045442624907e+00 6.846527475630845849e-01 1.704596590036121240e-02 3.210958134988831092e-02 3.951037469916351616e-03 2.931583549497230462e-02
3.123355696654497304e+00 6.846293432925520950e-01 1.702992027117458673e-02 3.210371918065103164e-02 3.963771194019615092e-03 2.926425122622786784e-02
3.125603965061281020e+00 6.846059449956227727e-01 1.701391096685986662e-02 3.209783100367873121e-02 3.976475760806135254e-03 2.921277111000211354e-02
3.127853851827074205e+00 6.845825526616058365e-01 1.699793796209421795e-02 3.209191685254155629e-02 3.989151195015622382e-03 2.916139504951760844e-02
3.130105358116810343e+00 6.845591662798102828e-01 1.698200123155479968e-02 3.208597676080960498e-02 4.001797521387768543e-03 2.911012294799696087e-02
3.132358485096263134e+00 6.845357858395447748e-01 1.696610074991877770e-02 3.208001076205298924e-02 4.014414764662283149e-03 2.905895470866273061e-02
3.134613233932045162e+00 6.845124113301188640e-01 1.695023649186332484e-02 3.207401888984184185e-02 4.027002949578861735e-03 2.900789023473754683e-02
3.136869605791608340e+00 6.844890427408411027e-01 1.693440843206560006e-02 3.206800117774625397e-02 4.039562100877211112e-03 2.895692942944395887e-02
3.139127601843245241e+00 6.844656800610207092e-01 1.691861654520277272e-02 3.206195765933635838e-02 4.052092243297028551e-03 2.890607219600457162e-02
3.141387223256088657e+00 6.844423232799667911e-01 1.690286080595201565e-02 3.205588836818226706e-02 4.064593401578014790e-03 2.885531843764200730e-02
3.143648471200114702e+00 6.844189723869880115e-01 1.688714118899048780e-02 3.204979333785410583e-02 4.077065600459873172e-03 2.880466805757881874e-02
3.145911346846140599e+00 6.843956273713937000e-01 1.687145766899535854e-02 3.204367260192198669e-02 4.089508864682309640e-03 2.875412095903760040e-02
3.148175851365825562e+00 6.843722882224924087e-01 1.685581022064378681e-02 3.203752619395600770e-02 4.101923218985015392e-03 2.870367704524094676e-02
3.150441985931673461e+00 6.843489549295940222e-01 1.684019881861294546e-02 3.203135414752630861e-02 4.114308688107703310e-03 2.865333621941144188e-02
3.152709751717031494e+00 6.843256274820065377e-01 1.682462343758000731e-02 3.202515649620300831e-02 4.126665296790063726e-03 2.860309838477169062e-02
3.154979149896091961e+00 6.843023058690397287e-01 1.680908405222212090e-02 3.201893327355619101e-02 4.138993069771807788e-03 2.855296344454425969e-02
3.157250181643891818e+00 6.842789900800023695e-01 1.679358063721647643e-02 3.201268451315601032e-02 4.151292031792630163e-03 2.850293130195177133e-02
3.159522848136314455e+00 6.842556801042034564e-01 1.677811316724021548e-02 3.200641024857256434e-02 4.163562207592238530e-03 2.845300186021678529e-02
3.161797150550089253e+00 6.842323759309517639e-01 1.676268161697051784e-02 3.200011051337598583e-02 4.175803621910331026e-03 2.840317502256189952e-02
3.164073090062792026e+00 6.842090775495565103e-01 1.674728596108454939e-02 3.199378534113634515e-02 4.188016299486602319e-03 2.835345069220972236e-02
3.166350667852848133e+00 6.841857849493266919e-01 1.673192617425947257e-02 3.198743476542382363e-02 4.200200265060766158e-03 2.830382877238281011e-02
3.168629885099528476e+00 6.841624981195714161e-01 1.671660223117246019e-02 3.198105881980849857e-02 4.212355543372514610e-03 2.825430916630379194e-02
3.170910742982956165e+00 6.841392170495994574e-01 1.670131410650067469e-02 3.197465753786048193e-02 4.224482159161555353e-03 2.820489177719522067e-02
3.173193242684100301e+00 6.841159417287201450e-01 1.668606177492128195e-02 3.196823095314991342e-02 4.236580137167583922e-03 2.815557650827971853e-02
3.175477385384782192e+00 6.840926721462423643e-01 1.667084521111145134e-02 3.196177909924689114e-02 4.248649502130304526e-03 2.810636326277986263e-02
3.177763172267674463e+00 6.840694082914747787e-01 1.665566438974833835e-02 3.195530200972153401e-02 4.260690278789423108e-03 2.805725194391821622e-02
3.180050604516298396e+00 6.840461501537268285e-01 1.664051928550911927e-02 3.194879971814397479e-02 4.272702491884631734e-03 2.800824245491741193e-02
3.182339683315030143e+00 6.840228977223075102e-01 1.662540987307096693e-02 3.194227225808430465e-02 4.284686166155643287e-03 2.795933469900000953e-02
3.184630409849095845e+00 6.839996509865255980e-01 1.661033612711102989e-02 3.193571966311266330e-02 4.296641326342148966e-03 2.791052857938862083e-02
3.186922785304577399e+00 6.839764099356900884e-01 1.659529802230648790e-02 3.192914196679915578e-02 4.308567997183857315e-03 2.786182399930581255e-02
3.189216810868407581e+00 6.839531745591104217e-01 1.658029553333450340e-02 3.192253920271390100e-02 4.320466203420463003e-03 2.781322086197420343e-02
3.191512487728375813e+00 6.839299448460948172e-01 1.656532863487223881e-02 3.191591140442701091e-02 4.332335969791674575e-03 2.776471907061634631e-02
3.193809817073126389e+00 6.839067207859530484e-01 1.655039730159686348e-02 3.190925860550859749e-02 4.344177321037191904e-03 2.771631852845485300e-02
3.196108800092157143e+00 6.838835023679936675e-01 1.653550150818554679e-02 3.190258083952880047e-02 4.355990281896707922e-03 2.766801913871232491e-02
3.198409437975825220e+00 6.838602895815262261e-01 1.652064122931545809e-02 3.189587814005771793e-02 4.367774877109937247e-03 2.761982080461132874e-02
3.200711731915341307e+00 6.838370824158590544e-01 1.650581643966374593e-02 3.188915054066545490e-02 4.379531131416569342e-03 2.757172342937447285e-02
3.203015683102775846e+00 6.838138808603015928e-01 1.649102711390760395e-02 3.188239807492215805e-02 4.391259069556311886e-03 2.752372691622434822e-02
3.205321292731057703e+00 6.837906849041626156e-01 1.647627322672417377e-02 3.187562077639791852e-02 4.402958716268869956e-03 2.747583116838351464e-02
3.207628561993971950e+00 6.837674945367514523e-01 1.646155475279063862e-02 3.186881867866287604e-02 4.414630096293937350e-03 2.742803608907460819e-02
3.209937492086166078e+00 6.837443097473766551e-01 1.644687166678414358e-02 3.186199181528710789e-02 4.426273234371224351e-03 2.738034158152014702e-02
3.212248084203144227e+00 6.837211305253477756e-01 1.643222394338187883e-02 3.185514021984077460e-02 4.437888155240421288e-03 2.733274754894279845e-02
3.214560339541273404e+00 6.836979568599732549e-01 1.641761155726100679e-02 3.184826392589397426e-02 4.449474883641233239e-03 2.728525389456513267e-02
3.216874259297782146e+00 6.836747887405623114e-01 1.640303448309867948e-02 3.184136296701680496e-02 4.461033444313364411e-03 2.723786052160971291e-02
3.219189844670758749e+00 6.836516261564242747e-01 1.638849269557206972e-02 3.183443737677942725e-02 4.472563861996520750e-03 2.719056733329914058e-02
3.221507096859155705e+00 6.836284690968676969e-01 1.637398616935834342e-02 3.182748718875191146e-02 4.484066161430396054e-03 2.714337423285599973e-02
3.223826017062787042e+00 6.836053175512019076e-01 1.635951487913468033e-02 3.182051243650439731e-02 4.495540367354691064e-03 2.709628112350291607e-02
3.226146606482332313e+00 6.835821715087356809e-01 1.634507879957822554e-02 3.181351315360699678e-02 4.506986504509115192e-03 2.704928790846242506e-02
3.228468866319332609e+00 6.835590309587782354e-01 1.633067790536616576e-02 3.180648937362984263e-02 4.518404597633360505e-03 2.700239449095717323e-02
3.230792797776196768e+00 6.835358958906386784e-01 1.631631217117564953e-02 3.179944113014301910e-02 4.529794671467132945e-03 2.695560077420971340e-02
3.233118402056198271e+00 6.835127662936255621e-01 1.630198157168385314e-02 3.179236845671667283e-02 4.541156750750137590e-03 2.690890666144263310e-02
3.235445680363475685e+00 6.834896421570483271e-01 1.628768608156793904e-02 3.178527138692090193e-02 4.552490860222068239e-03 2.686231205587854762e-02
3.237774633903035770e+00 6.834665234702157477e-01 1.627342567550507310e-02 3.177814995432581835e-02 4.563797024622633439e-03 2.681581686074001325e-02
3.240105263880751263e+00 6.834434102224367091e-01 1.625920032817242469e-02 3.177100419250154101e-02 4.575075268691532193e-03 2.676942097924963487e-02
3.242437571503364424e+00 6.834203024030207629e-01 1.624501001424716318e-02 3.176383413501821656e-02 4.586325617168464375e-03 2.672312431463002083e-02
3.244771557978483933e+00 6.833972000012762393e-01 1.623085470840645098e-02 3.175663981544593617e-02 4.597548094793125519e-03 2.667692677010375865e-02
3.247107224514590662e+00 6.833741030065126898e-01 1.621673438532745051e-02 3.174942126735481179e-02 4.608742726305232844e-03 2.663082824889341158e-02
3.249444572321034119e+00 6.833510114080388886e-01 1.620264901968732768e-02 3.174217852431495540e-02 4.619909536444476682e-03 2.658482865422157754e-02
3.251783602608032897e+00 6.833279251951640543e-01 1.618859858616325878e-02 3.173491161989651366e-02 4.631048549950556904e-03 2.653892788931086488e-02
3.254124316586679555e+00 6.833048443571967390e-01 1.617458305943239930e-02 3.172762058766957771e-02 4.642159791563182925e-03 2.649312585738384032e-02
3.256466715468934403e+00 6.832817688834462722e-01 1.616060241417192553e-02 3.172030546120426647e-02 4.653243286022047676e-03 2.644742246166311914e-02
3.258810800467634827e+00 6.832586987632214282e-01 1.614665662505899643e-02 3.171296627407069885e-02 4.664299058066857101e-03 2.640181760537126804e-02
3.261156572796488629e+00 6.832356339858317584e-01 1.613274566677077790e-02 3.170560305983898680e-02 4.675327132437320614e-03 2.635631119173086762e-02
3.263504033670076243e+00 6.832125745405858153e-01 1.611886951398444623e-02 3.169821585207927006e-02 4.686327533873119872e-03 2.631090312396456785e-02
3.265853184303855627e+00 6.831895204167927060e-01 1.610502814137715344e-02 3.169080468436163978e-02 4.697300287113975563e-03 2.626559330529488340e-02
3.268204025914156485e+00 6.831664716037613161e-01 1.609122152362607236e-02 3.168336959025620791e-02 4.708245416899580621e-03 2.622038163894443996e-02
3.270556559718185596e+00 6.831434280908008638e-01 1.607744963540837582e-02 3.167591060333312114e-02 4.719162947969633183e-03 2.617526802813583894e-02
3.272910786934026817e+00 6.831203898672203456e-01 1.606371245140122278e-02 3.166842775716246366e-02 4.730052905063844397e-03 2.613025237609164358e-02
3.275266708780637970e+00 6.830973569223285358e-01 1.605000994628178260e-02 3.166092108531438215e-02 4.740915312921905461e-03 2.608533458603446570e-02
3.277624326477857952e+00 6.830743292454347637e-01 1.603634209472721076e-02 3.165339062135896775e-02 4.751750196283524921e-03 2.604051456118687546e-02
3.279983641246399628e+00 6.830513068258479148e-01 1.602270887141469050e-02 3.164583639886633937e-02 4.762557579888399180e-03 2.599579220477148470e-02
3.282344654307859155e+00 6.830282896528767633e-01 1.600911025102138077e-02 3.163825845140662979e-02 4.773337488476235048e-03 2.595116742001085663e-02
3.284707366884707547e+00 6.830052777158306387e-01 1.599554620822444054e-02 3.163065681254993711e-02 4.784089946786728928e-03 2.590664011012761350e-02
3.287071780200298221e+00 6.829822710040183154e-01 1.598201671770104956e-02 3.162303151586639410e-02 4.794814979559583294e-03 2.586221017834431854e-02
3.289437895478867002e+00 6.829592695067492336e-01 1.596852175412836333e-02 3.161538259492610581e-02 4.805512611534509294e-03 2.581787752788355234e-02
3.291805713945525902e+00 6.829362732133318348e-01 1.595506129218355468e-02 3.160771008329920501e-02 4.816182867451192055e-03 2.577364206196794752e-02
3.294175236826273334e+00 6.829132821130754483e-01 1.594163530654379296e-02 3.160001401455578285e-02 4.826825772049340123e-03 2.572950368382007774e-02
3.296546465347987898e+00 6.828902961952890704e-01 1.592824377188623020e-02 3.159229442226596518e-02 4.837441350068659440e-03 2.568546229666249930e-02
3.298919400738432817e+00 6.828673154492816977e-01 1.591488666288804615e-02 3.158455133999987785e-02 4.848029626248848145e-03 2.564151780371783443e-02
3.301294044226253277e+00 6.828443398643622153e-01 1.590156395422640326e-02 3.157678480132763282e-02 4.858590625329604375e-03 2.559767010820868452e-02
3.303670397040979978e+00 6.828213694298396197e-01 1.588827562057847087e-02 3.156899483981934207e-02 4.869124372050632338e-03 2.555391911335760935e-02
3.306048460413029577e+00 6.827984041350233513e-01 1.587502163662140447e-02 3.156118148904513143e-02 4.879630891151634509e-03 2.551026472238720685e-02
3.308428235573702025e+00 6.827754439692217403e-01 1.586180197703238384e-02 3.155334478257509900e-02 4.890110207372309892e-03 2.546670683852007497e-02
3.310809723755186340e+00 6.827524889217444493e-01 1.584861661648856793e-02 3.154548475397939145e-02 4.900562345452367033e-03 2.542324536497879775e-02
3.313192926190555720e+00 6.827295389818999194e-01 1.583546552966712262e-02 3.153760143682809297e-02 4.910987330131494528e-03 2.537988020498596620e-02
3.315577844113772876e+00 6.827065941389974801e-01 1.582234869124521728e-02 3.152969486469132943e-02 4.921385186149403526e-03 2.533661126176418518e-02
3.317964478759689584e+00 6.826836543823461279e-01 1.580926607590001087e-02 3.152176507113922665e-02 4.931755938245799102e-03 2.529343843853599019e-02
3.320352831364042689e+00 6.826607197012550809e-01 1.579621765830868663e-02 3.151381208974191050e-02 4.942099611160365516e-03 2.525036163852406243e-02
3.322742903163463435e+00 6.826377900850326697e-01 1.578320341314838962e-02 3.150583595406946519e-02 4.952416229632825191e-03 2.520738076495088881e-02
3.325134695395468576e+00 6.826148655229884454e-01 1.577022331509630310e-02 3.149783669769203043e-02 4.962705818402860652e-03 2.516449572103915400e-02
3.327528209298469264e+00 6.825919460044312936e-01 1.575727733882958947e-02 3.148981435417971819e-02 4.972968402210189119e-03 2.512170641001137614e-02
3.329923446111767049e+00 6.825690315186700996e-01 1.574436545902540077e-02 3.148176895710263351e-02 4.983204005794503524e-03 2.507901273509017745e-02
3.332320407075553881e+00 6.825461220550143038e-01 1.573148765036092370e-02 3.147370054003090917e-02 4.993412653895505475e-03 2.503641459949815934e-02
3.334719093430917436e+00 6.825232176027724584e-01 1.571864388751331026e-02 3.146560913653466407e-02 5.003594371252900914e-03 2.499391190645787464e-02
3.337119506419835346e+00 6.825003181512538930e-01 1.570583414515974371e-02 3.145749478018400325e-02 5.013749182606387113e-03 2.495150455919195598e-02
3.339521647285182304e+00 6.824774236897672708e-01 1.569305839797736565e-02 3.144935750454905254e-02 5.023877112695666544e-03 2.490919246092295619e-02
3.341925517270725177e+00 6.824545342076219212e-01 1.568031662064336626e-02 3.144119734319991699e-02 5.033978186260440815e-03 2.486697551487350097e-02
3.344331117621127891e+00 6.824316496941267296e-01 1.566760878783489755e-02 3.143301432970671550e-02 5.044052428040408063e-03 2.482485362426614661e-02
3.346738449581950992e+00 6.824087701385905813e-01 1.565493487422912194e-02 3.142480849763956002e-02 5.054099862775281171e-03 2.478282669232347718e-02
3.349147514399648085e+00 6.823858955303225837e-01 1.564229485450322268e-02 3.141657988056858336e-02 5.064120515204747000e-03 2.474089462226812183e-02
3.351558313321573834e+00 6.823630258586319552e-01 1.562968870333435525e-02 3.140832851206389054e-02 5.074114410068517565e-03 2.469905731732265075e-02
3.353970847595978189e+00 6.823401611128273592e-01 1.561711639539968902e-02 3.140005442569560740e-02 5.084081572106286667e-03 2.465731468070966534e-02
3.356385118472011708e+00 6.823173012822179029e-01 1.560457790537638119e-02 3.139175765503382509e-02 5.094022026057761117e-03 2.461566661565171149e-02
3.358801127199722014e+00 6.822944463561126938e-01 1.559207320794161501e-02 3.138343823364869029e-02 5.103935796662638184e-03 2.457411302537144265e-02
3.361218875030057784e+00 6.822715963238209502e-01 1.557960227777255117e-02 3.137509619511032188e-02 5.113822908660622078e-03 2.453265381309141860e-02
3.363638363214868754e+00 6.822487511746511135e-01 1.556716508954634169e-02 3.136673157298880410e-02 5.123683386791417008e-03 2.449128888203420604e-02
3.366059593006903938e+00 6.822259108979121800e-01 1.555476161794016460e-02 3.135834440085426972e-02 5.133517255794716773e-03 2.445001813542242372e-02
3.368482565659816075e+00 6.822030754829140342e-01 1.554239183763119099e-02 3.134993471227683765e-02 5.143324540410232522e-03 2.440884147647865918e-02
3.370907282428158513e+00 6.821802449189651174e-01 1.553005572329658156e-02 3.134150254082663373e-02 5.153105265377657188e-03 2.436775880842549993e-02
3.373333744567388770e+00 6.821574191953742039e-01 1.551775324961349525e-02 3.133304792007374912e-02 5.162859455436697581e-03 2.432677003448552311e-02
3.375761953333868526e+00 6.821345983014506231e-01 1.550548439125910664e-02 3.132457088358832353e-02 5.172587135327052707e-03 2.428587505788132664e-02
3.378191909984861852e+00 6.821117822265034825e-01 1.549324912291058683e-02 3.131607146494046201e-02 5.182288329788421570e-03 2.424507378183551887e-02
3.380623615778540536e+00 6.820889709598414452e-01 1.548104741924509302e-02 3.130754969770028345e-02 5.191963063560512716e-03 2.420436610957065610e-02
3.383057071973979202e+00 6.820661644907739518e-01 1.546887925493979632e-02 3.129900561543791371e-02 5.201611361383019078e-03 2.416375194430936402e-02
3.385492279831161078e+00 6.820433628086095545e-01 1.545674460467186782e-02 3.129043925172345780e-02 5.211233247995646599e-03 2.412323118927421628e-02
3.387929240610975778e+00 6.820205659026573608e-01 1.544464344311845781e-02 3.128185064012702771e-02 5.220828748138100356e-03 2.408280374768778653e-02
3.390367955575218417e+00 6.819977737622268110e-01 1.543257574495674432e-02 3.127323981421874233e-02 5.230397886550073282e-03 2.404246952277268312e-02
3.392808425986596710e+00 6.819749863766263465e-01 1.542054148486389151e-02 3.126460680756873445e-02 5.239940687971274789e-03 2.400222841775148316e-02
3.395250653108722538e+00 6.819522037351652965e-01 1.540854063751707047e-02 3.125595165374710910e-02 5.249457177141400414e-03 2.396208033584680194e-02
3.397694638206121276e+00 6.819294258271526576e-01 1.539657317759343842e-02 3.124727438632396784e-02 5.258947378800156967e-03 2.392202518028119576e-02
3.400140382544225570e+00 6.819066526418970930e-01 1.538463907977016300e-02 3.123857503886945039e-02 5.268411317687241718e-03 2.388206285427727296e-02
3.402587887389380228e+00 6.818838841687082652e-01 1.537273831872442570e-02 3.122985364495366872e-02 5.277849018542353672e-03 2.384219326105764883e-02
3.405037154008843547e+00 6.818611203968946155e-01 1.536087086913336987e-02 3.122111023814672440e-02 5.287260506105206578e-03 2.380241630384484497e-02
3.407488183670781545e+00 6.818383613157655843e-01 1.534903670567418221e-02 3.121234485201876060e-02 5.296645805115488166e-03 2.376273188586152177e-02
3.409940977644277726e+00 6.818156069146295017e-01 1.533723580302400955e-02 3.120355752013985462e-02 5.306004940312903512e-03 2.372313991033021818e-02
3.412395537199325091e+00 6.817928571827961415e-01 1.532546813586003510e-02 3.119474827608015657e-02 5.315337936437156824e-03 2.368364028047356684e-02
3.414851863606835014e+00 6.817701121095742778e-01 1.531373367885941784e-02 3.118591715340978190e-02 5.324644818227952311e-03 2.364423289951412405e-02
3.417309958138628811e+00 6.817473716842726850e-01 1.530203240669932366e-02 3.117706418569882870e-02 5.333925610424980306e-03 2.360491767067449814e-02
3.419769822067447951e+00 6.817246358962005814e-01 1.529036429405692191e-02 3.116818940651742281e-02 5.343180337767951954e-03 2.356569449717727666e-02
3.422231456666947835e+00 6.817019047346668525e-01 1.527872931560937501e-02 3.115929284943567620e-02 5.352409024996569731e-03 2.352656328224503671e-02
3.424694863211699580e+00 6.816791781889807167e-01 1.526712744603385234e-02 3.115037454802371819e-02 5.361611696850530906e-03 2.348752392910037276e-02
3.427160042977194454e+00 6.816564562484507261e-01 1.525555866000751284e-02 3.114143453585163993e-02 5.370788378069531882e-03 2.344857634096588275e-02
3.429626997239839437e+00 6.816337389023865434e-01 1.524402293220753803e-02 3.113247284648958460e-02 5.379939093393286409e-03 2.340972042106415421e-02
3.432095727276961217e+00 6.816110261400968318e-01 1.523252023731108684e-02 3.112348951350766418e-02 5.389063867561481348e-03 2.337095607261779895e-02
3.434566234366807969e+00 6.815883179508904766e-01 1.522105054999531477e-02 3.111448457047598024e-02 5.398162725313833919e-03 2.333228319884934204e-02
3.437038519788543578e+00 6.815656143240766962e-01 1.520961384493740506e-02 3.110545805096466207e-02 5.407235691390035320e-03 2.329370170298144041e-02
3.439512584822256969e+00 6.815429152489642650e-01 1.519821009681450799e-02 3.109640998854380778e-02 5.416282790529788893e-03 2.325521148823663994e-02
3.441988430748954997e+00 6.815202207148625124e-01 1.518683928030380680e-02 3.108734041678356402e-02 5.425304047472794509e-03 2.321681245783756634e-02
3.444466058850569556e+00 6.814975307110802127e-01 1.517550137008245696e-02 3.107824936925402542e-02 5.434299486958756378e-03 2.317850451500679670e-02
