# s  W0^2        W2^2        W4^2        W6^2        W8^2
3.089825084037135294e+00 7.111145580699562707e-01 2.123222435297000485e-02 4.453710243657908741e-02 9.827778313535569861e-05 3.494409915396560345e-02
3.092049216282582336e+00 7.110840949632049046e-01 2.121579418686969642e-02 4.451989110625549639e-02 1.380344576707942343e-04 3.492131828915087666e-02
3.094274949513234230e+00 7.110536532905448182e-01 2.119937990605798989e-02 4.450266864141073919e-02 1.777123520710505178e-04 3.489857080372752579e-02
3.096502284881519795e+00 7.110232330373976728e-01 2.118298150321065720e-02 4.448543506003508480e-02 2.173115291688539790e-04 3.487585666274849172e-02
3.098731223540696522e+00 7.109928341891864623e-01 2.116659897100353627e-02 4.446819038011888547e-02 2.568320517968880373e-04 3.485317583126677082e-02
3.100961766644853679e+00 7.109624567313328480e-01 2.115023230211240599e-02 4.445093461965239634e-02 2.962739827878842235e-04 3.483052827433526233e-02
3.103193915348909648e+00 7.109321006492590467e-01 2.113388148921307996e-02 4.443366779662590721e-02 3.356373849745249811e-04 3.480791395700696955e-02
3.105427670808615481e+00 7.109017659283878299e-01 2.111754652498136139e-02 4.441638992902974953e-02 3.749223211895406482e-04 3.478533284433483336e-02
3.107663034180552231e+00 7.108714525541408591e-01 2.110122740209305001e-02 4.439910103485419923e-02 4.141288542656154301e-04 3.476278490137182237e-02
3.109900006622136281e+00 7.108411605119404619e-01 2.108492411322395940e-02 4.438180113208956001e-02 4.532570470354790686e-04 3.474027009317086356e-02
3.112138589291614466e+00 7.108108897872092991e-01 2.106863665104988584e-02 4.436449023872613556e-02 4.923069623318256354e-04 3.471778838478494639e-02
3.114378783348068502e+00 7.107806403653690319e-01 2.105236500824663251e-02 4.434716837275420181e-02 5.312786629873512620e-04 3.469533974126700476e-02
3.116620589951414999e+00 7.107504122318422102e-01 2.103610917749001996e-02 4.432983555216409716e-02 5.701722118347747397e-04 3.467292412767001425e-02
3.118864010262405007e+00 7.107202053720507173e-01 2.101986915145582016e-02 4.431249179494608365e-02 6.089876717068143722e-04 3.465054150904690183e-02
3.121109045442624907e+00 7.106900197714172140e-01 2.100364492281987100e-02 4.429513711909047191e-02 6.477251054361532262e-04 3.462819185045067777e-02
